date,name,nameEn,type,isPublicHoliday,year,month,period
"2024-01-01","วันขื้นปีใหม่","วันขื้นปีใหม่","national",true,2024,01,"2024-01"
"2024-02-10","วันตรุษจีน","วันตรุษจีน","national",true,2024,02,"2024-02"
"2024-02-11","วันตรุษจีน (วันที่ 2)","วันตรุษจีน (วันที่ 2)","national",true,2024,02,"2024-02"
"2024-02-12","วันตรุษจีน (วันที่ 3)","วันตรุษจีน (วันที่ 3)","national",true,2024,02,"2024-02"
"2024-02-14","วันวาเลนไทน์","วันวาเลนไทน์","national",true,2024,02,"2024-02"
"2024-02-24","วันมาฆบูชา","วันมาฆบูชา","national",true,2024,02,"2024-02"
"2024-02-26","วันหยุดชดเชยวันมาฆบูชา","วันหยุดชดเชยวันมาฆบูชา","national",true,2024,02,"2024-02"
"2024-04-06","วันจักรี","วันจักรี","national",true,2024,04,"2024-04"
"2024-04-08","วันหยุดชดเชยวันจักรี","วันหยุดชดเชยวันจักรี","national",true,2024,04,"2024-04"
"2024-04-12","วันสงกรานต์","วันสงกรานต์","national",true,2024,04,"2024-04"
"2024-04-13","วันสงกรานต์","วันสงกรานต์","national",true,2024,04,"2024-04"
"2024-04-14","วันสงกรานต์","วันสงกรานต์","national",true,2024,04,"2024-04"
"2024-04-15","วันสงกรานต์","วันสงกรานต์","national",true,2024,04,"2024-04"
"2024-04-16","วันหยุดชดเชยวันสงกรานต์","วันหยุดชดเชยวันสงกรานต์","national",true,2024,04,"2024-04"
"2024-05-01","วันแรงงานแห่งชาติ","วันแรงงานแห่งชาติ","national",true,2024,05,"2024-05"
"2024-05-04","วันฉัตรมงคล","วันฉัตรมงคล","national",true,2024,05,"2024-05"
"2024-05-06","วันหยุดชดเชยวันฉัตรมงคล","วันหยุดชดเชยวันฉัตรมงคล","national",true,2024,05,"2024-05"
"2024-05-10","วันพืชมงคล","วันพืชมงคล","national",true,2024,05,"2024-05"
"2024-05-22","วันวิสาขบูชา","วันวิสาขบูชา","national",true,2024,05,"2024-05"
"2024-06-03","วันเฉลิมพระชนมพรรษาสมเด็จพระนางเจ้าสุทิดา","วันเฉลิมพระชนมพรรษาสมเด็จพระนางเจ้าสุทิดา","national",true,2024,06,"2024-06"
"2024-07-20","วันอาสาฬหบูชา","วันอาสาฬหบูชา","national",true,2024,07,"2024-07"
"2024-07-22","วันหยุดชดเชยวันอาสาฬหบูชา","วันหยุดชดเชยวันอาสาฬหบูชา","national",true,2024,07,"2024-07"
"2024-07-28","วันเฉลิมพระชนมพรรษา สมเด็จพระเจ้าอยู่หัวมหาวชิราลงกรณ บดินทรเทพยวรางกูร","วันเฉลิมพระชนมพรรษา สมเด็จพระเจ้าอยู่หัวมหาวชิราลงกรณ บดินทรเทพยวรางกูร","national",true,2024,07,"2024-07"
"2024-07-29","วันหยุดชดเชยวันเฉลิมพระชนมพรรษา สมเด็จพระเจ้าอยู่หัวมหาวชิราลงกรณ บดินทรเทพยวรางกูร","วันหยุดชดเชยวันเฉลิมพระชนมพรรษา สมเด็จพระเจ้าอยู่หัวมหาวชิราลงกรณ บดินทรเทพยวรางกูร","national",true,2024,07,"2024-07"
"2024-08-12","วันเฉลิมพระชนมพรรษาสมเด็จพระนางเจ้าสิริกิติ์ พระบรมราชินีนาถ พระบรมราชชนนีพันปีหลวง และวันแม่แห่งชาติ","วันเฉลิมพระชนมพรรษาสมเด็จพระนางเจ้าสิริกิติ์ พระบรมราชินีนาถ พระบรมราชชนนีพันปีหลวง และวันแม่แห่งชาติ","national",true,2024,08,"2024-08"
"2024-10-13","วันคล้ายวันสวรรคตของพระบาทสมเด็จพระปรมินทรมหาภูมิพลอดุลยเดชบรมนาถบพิตร","วันคล้ายวันสวรรคตของพระบาทสมเด็จพระปรมินทรมหาภูมิพลอดุลยเดชบรมนาถบพิตร","national",true,2024,10,"2024-10"
"2024-10-14","วันหยุดชดเชยวันคล้ายวันสวรรคตของพระบาทสมเด็จพระปรมินทรมหาภูมิพลอดุลยเดชบรมนาถบพิตร","วันหยุดชดเชยวันคล้ายวันสวรรคตของพระบาทสมเด็จพระปรมินทรมหาภูมิพลอดุลยเดชบรมนาถบพิตร","national",true,2024,10,"2024-10"
"2024-10-23","วันปิยมหาราช","วันปิยมหาราช","national",true,2024,10,"2024-10"
"2024-12-05","วันคล้ายวันพระบรมราชสมภพ พระบาทสมเด็จพระบรมชนกาธิเบศรมหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร และวันพ่อแห่งชาติ","วันคล้ายวันพระบรมราชสมภพ พระบาทสมเด็จพระบรมชนกาธิเบศรมหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร และวันพ่อแห่งชาติ","national",true,2024,12,"2024-12"
"2024-12-10","​วันรัฐธรรมนูญ","​วันรัฐธรรมนูญ","national",true,2024,12,"2024-12"
"2024-12-24","วันคริสต์มาสอีฟ","วันคริสต์มาสอีฟ","national",true,2024,12,"2024-12"
"2024-12-25","วันคริสต์มาส","วันคริสต์มาส","national",true,2024,12,"2024-12"
"2024-12-30","วันหยุดราชการธันวาคม","วันหยุดราชการธันวาคม","national",true,2024,12,"2024-12"
"2024-12-31","วันสิ้นปี","วันสิ้นปี","national",true,2024,12,"2024-12"
"2025-01-01","วันขื้นปีใหม่","วันขื้นปีใหม่","national",true,2025,01,"2025-01"
"2025-01-29","วันตรุษจีน","วันตรุษจีน","national",true,2025,01,"2025-01"
"2025-01-30","วันตรุษจีน (วันที่ 2)","วันตรุษจีน (วันที่ 2)","national",true,2025,01,"2025-01"
"2025-01-31","วันตรุษจีน (วันที่ 3)","วันตรุษจีน (วันที่ 3)","national",true,2025,01,"2025-01"
"2025-02-12","วันมาฆบูชา","วันมาฆบูชา","national",true,2025,02,"2025-02"
"2025-02-14","วันวาเลนไทน์","วันวาเลนไทน์","national",true,2025,02,"2025-02"
"2025-04-06","วันจักรี","วันจักรี","national",true,2025,04,"2025-04"
"2025-04-07","วันหยุดชดเชยวันจักรี","วันหยุดชดเชยวันจักรี","national",true,2025,04,"2025-04"
"2025-04-13","วันสงกรานต์","วันสงกรานต์","national",true,2025,04,"2025-04"
"2025-04-14","วันสงกรานต์","วันสงกรานต์","national",true,2025,04,"2025-04"
"2025-04-15","วันสงกรานต์","วันสงกรานต์","national",true,2025,04,"2025-04"
"2025-04-16","วันหยุดชดเชยวันสงกรานต์","วันหยุดชดเชยวันสงกรานต์","national",true,2025,04,"2025-04"
"2025-05-01","วันแรงงานแห่งชาติ","วันแรงงานแห่งชาติ","national",true,2025,05,"2025-05"
"2025-05-04","วันฉัตรมงคล","วันฉัตรมงคล","national",true,2025,05,"2025-05"
"2025-05-05","วันหยุดชดเชยวันฉัตรมงคล","วันหยุดชดเชยวันฉัตรมงคล","national",true,2025,05,"2025-05"
"2025-05-09","วันพืชมงคล","วันพืชมงคล","national",true,2025,05,"2025-05"
"2025-05-11","วันวิสาขบูชา","วันวิสาขบูชา","national",true,2025,05,"2025-05"
"2025-05-12","วันหยุดชดเชยวันวิสาขบูชา","วันหยุดชดเชยวันวิสาขบูชา","national",true,2025,05,"2025-05"
"2025-06-02","นักขัตฤกษ์","นักขัตฤกษ์","national",true,2025,06,"2025-06"
"2025-06-03","วันเฉลิมพระชนมพรรษาสมเด็จพระนางเจ้าสุทิดา","วันเฉลิมพระชนมพรรษาสมเด็จพระนางเจ้าสุทิดา","national",true,2025,06,"2025-06"
"2025-07-10","วันอาสาฬหบูชา","วันอาสาฬหบูชา","national",true,2025,07,"2025-07"
"2025-07-28","วันเฉลิมพระชนมพรรษา สมเด็จพระเจ้าอยู่หัวมหาวชิราลงกรณ บดินทรเทพยวรางกูร","วันเฉลิมพระชนมพรรษา สมเด็จพระเจ้าอยู่หัวมหาวชิราลงกรณ บดินทรเทพยวรางกูร","national",true,2025,07,"2025-07"
"2025-08-11","นักขัตฤกษ์","นักขัตฤกษ์","national",true,2025,08,"2025-08"
"2025-08-12","วันเฉลิมพระชนมพรรษาสมเด็จพระนางเจ้าสิริกิติ์ พระบรมราชินีนาถ พระบรมราชชนนีพันปีหลวง และวันแม่แห่งชาติ","วันเฉลิมพระชนมพรรษาสมเด็จพระนางเจ้าสิริกิติ์ พระบรมราชินีนาถ พระบรมราชชนนีพันปีหลวง และวันแม่แห่งชาติ","national",true,2025,08,"2025-08"
"2025-10-13","วันคล้ายวันสวรรคตของพระบาทสมเด็จพระปรมินทรมหาภูมิพลอดุลยเดชบรมนาถบพิตร","วันคล้ายวันสวรรคตของพระบาทสมเด็จพระปรมินทรมหาภูมิพลอดุลยเดชบรมนาถบพิตร","national",true,2025,10,"2025-10"
"2025-10-23","วันปิยมหาราช","วันปิยมหาราช","national",true,2025,10,"2025-10"
"2025-12-05","วันคล้ายวันพระบรมราชสมภพ พระบาทสมเด็จพระบรมชนกาธิเบศรมหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร และวันพ่อแห่งชาติ","วันคล้ายวันพระบรมราชสมภพ พระบาทสมเด็จพระบรมชนกาธิเบศรมหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร และวันพ่อแห่งชาติ","national",true,2025,12,"2025-12"
"2025-12-10","​วันรัฐธรรมนูญ","​วันรัฐธรรมนูญ","national",true,2025,12,"2025-12"
"2025-12-24","วันคริสต์มาสอีฟ","วันคริสต์มาสอีฟ","national",true,2025,12,"2025-12"
"2025-12-25","วันคริสต์มาส","วันคริสต์มาส","national",true,2025,12,"2025-12"
"2025-12-31","วันสิ้นปี","วันสิ้นปี","national",true,2025,12,"2025-12"
"2026-01-01","วันขื้นปีใหม่","วันขื้นปีใหม่","national",true,2026,01,"2026-01"
"2026-01-02","วันหยุดราชการธันวาคม","วันหยุดราชการธันวาคม","national",true,2026,01,"2026-01"
"2026-02-14","วันวาเลนไทน์","วันวาเลนไทน์","national",true,2026,02,"2026-02"
"2026-02-17","วันตรุษจีน","วันตรุษจีน","national",true,2026,02,"2026-02"
"2026-02-18","วันตรุษจีน (วันที่ 2)","วันตรุษจีน (วันที่ 2)","national",true,2026,02,"2026-02"
"2026-02-19","วันตรุษจีน (วันที่ 3)","วันตรุษจีน (วันที่ 3)","national",true,2026,02,"2026-02"
"2026-03-03","วันมาฆบูชา","วันมาฆบูชา","national",true,2026,03,"2026-03"
"2026-04-06","วันจักรี","วันจักรี","national",true,2026,04,"2026-04"
"2026-04-13","วันสงกรานต์","วันสงกรานต์","national",true,2026,04,"2026-04"
"2026-04-14","วันสงกรานต์","วันสงกรานต์","national",true,2026,04,"2026-04"
"2026-04-15","วันสงกรานต์","วันสงกรานต์","national",true,2026,04,"2026-04"
"2026-05-01","วันแรงงานแห่งชาติ","วันแรงงานแห่งชาติ","national",true,2026,05,"2026-05"
"2026-05-04","วันฉัตรมงคล","วันฉัตรมงคล","national",true,2026,05,"2026-05"
"2026-05-31","วันวิสาขบูชา","วันวิสาขบูชา","national",true,2026,05,"2026-05"
"2026-06-01","วันหยุดชดเชยวันวิสาขบูชา","วันหยุดชดเชยวันวิสาขบูชา","national",true,2026,06,"2026-06"
"2026-06-03","วันเฉลิมพระชนมพรรษาสมเด็จพระนางเจ้าสุทิดา","วันเฉลิมพระชนมพรรษาสมเด็จพระนางเจ้าสุทิดา","national",true,2026,06,"2026-06"
"2026-07-28","วันเฉลิมพระชนมพรรษา สมเด็จพระเจ้าอยู่หัวมหาวชิราลงกรณ บดินทรเทพยวรางกูร","วันเฉลิมพระชนมพรรษา สมเด็จพระเจ้าอยู่หัวมหาวชิราลงกรณ บดินทรเทพยวรางกูร","national",true,2026,07,"2026-07"
"2026-07-29","วันอาสาฬหบูชา","วันอาสาฬหบูชา","national",true,2026,07,"2026-07"
"2026-08-12","วันเฉลิมพระชนมพรรษาสมเด็จพระนางเจ้าสิริกิติ์ พระบรมราชินีนาถ พระบรมราชชนนีพันปีหลวง และวันแม่แห่งชาติ","วันเฉลิมพระชนมพรรษาสมเด็จพระนางเจ้าสิริกิติ์ พระบรมราชินีนาถ พระบรมราชชนนีพันปีหลวง และวันแม่แห่งชาติ","national",true,2026,08,"2026-08"
"2026-10-13","วันคล้ายวันสวรรคตของพระบาทสมเด็จพระปรมินทรมหาภูมิพลอดุลยเดชบรมนาถบพิตร","วันคล้ายวันสวรรคตของพระบาทสมเด็จพระปรมินทรมหาภูมิพลอดุลยเดชบรมนาถบพิตร","national",true,2026,10,"2026-10"
"2026-10-23","วันปิยมหาราช","วันปิยมหาราช","national",true,2026,10,"2026-10"
"2026-12-05","วันคล้ายวันพระบรมราชสมภพ พระบาทสมเด็จพระบรมชนกาธิเบศรมหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร และวันพ่อแห่งชาติ","วันคล้ายวันพระบรมราชสมภพ พระบาทสมเด็จพระบรมชนกาธิเบศรมหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร และวันพ่อแห่งชาติ","national",true,2026,12,"2026-12"
"2026-12-07","วันหยุดชดเชยวันคล้ายวันพระบรมราชสมภพ พระบาทสมเด็จพระบรมชนกาธิเบศรมหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร และวันพ่อแห่งชาติ","วันหยุดชดเชยวันคล้ายวันพระบรมราชสมภพ พระบาทสมเด็จพระบรมชนกาธิเบศรมหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร และวันพ่อแห่งชาติ","national",true,2026,12,"2026-12"
"2026-12-10","​วันรัฐธรรมนูญ","​วันรัฐธรรมนูญ","national",true,2026,12,"2026-12"
"2026-12-24","วันคริสต์มาสอีฟ","วันคริสต์มาสอีฟ","national",true,2026,12,"2026-12"
"2026-12-25","วันคริสต์มาส","วันคริสต์มาส","national",true,2026,12,"2026-12"
"2026-12-31","วันสิ้นปี","วันสิ้นปี","national",true,2026,12,"2026-12"